run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C1_2_1__S1_balanced__ILS_MS__seed01,main,hg,200,C1_2_1,clustered,S1_balanced,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6653.763630647439,7406.399202000439,3819.0971660843957,0.9310650904185551,0.9310650904185551,0.0,0.0,116.86087139998563,2.79167637233299,0.0,116.86087139998563,12,0,0,3,1,real_solver:ILS_MS | archive=1 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S1_balanced__ILS_MS__seed02,main,hg,200,C1_2_1,clustered,S1_balanced,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6615.487247148248,7590.992249715153,3908.799250445591,0.9442527146382521,0.9442527146382521,0.0,0.0,91.26026359992102,2.180106297109224,0.0,91.26026359992102,12,0,0,2,1,real_solver:ILS_MS | archive=1 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S2_peak_dirty__ILS_MS__seed01,main,hg,200,C1_2_1,clustered,S2_peak_dirty,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6500.633777466296,7100.471766754301,3560.5585862237695,0.8689097073634611,0.8689097073634611,0.0,0.0,76.33364750002511,1.823526023611711,0.0,76.33364750002511,12,0,0,0,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S2_peak_dirty__ILS_MS__seed02,main,hg,200,C1_2_1,clustered,S2_peak_dirty,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6368.652242398968,7193.042132249817,3604.0452901430795,0.8700842630065156,0.8700842630065156,0.0,0.0,72.43196090008132,1.7303190659463872,0.0,72.43196090008132,12,0,0,3,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S3_mixed_fleet_arc__ILS_MS__seed01,main,hg,200,C1_2_1,clustered,S3_mixed_fleet_arc,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6874.469650287416,7408.160178516024,2336.7052407243773,0.9099428559936372,0.9099428559936372,0.0,0.0,79.2830030999612,1.8939828518324067,0.0,79.2830030999612,12,0,0,0,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S3_mixed_fleet_arc__ILS_MS__seed02,main,hg,200,C1_2_1,clustered,S3_mixed_fleet_arc,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6358.87765292828,7791.153799278542,2453.9119322913716,0.9166691337439428,0.9166691337439428,0.0,0.0,70.19770070002414,1.6769450722783545,0.0,70.19770070002414,12,0,0,1,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_5__S1_balanced__ILS_MS__seed01,main,hg,200,C1_2_5,clustered,S1_balanced,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,4218.103075812193,1.0,1.0,0.0,0.0,71.69518539996352,1.7127183178880174,0.0,71.69518539996352,12,0,0,2,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S1_balanced__ILS_MS__seed02,main,hg,200,C1_2_5,clustered,S1_balanced,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,4218.103075812193,1.0,1.0,0.0,0.0,78.07731890003197,1.8651803959452082,0.0,78.07731890003197,12,0,0,3,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S2_peak_dirty__ILS_MS__seed01,main,hg,200,C1_2_5,clustered,S2_peak_dirty,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,4100.604872468205,1.0,1.0,0.0,0.0,85.72673150000628,2.047916363611261,0.0,85.72673150000628,12,0,0,1,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S2_peak_dirty__ILS_MS__seed02,main,hg,200,C1_2_5,clustered,S2_peak_dirty,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7041.438849511687,8050.974383075723,4038.565071346158,0.9905172207971243,0.9905172207971243,0.0,0.0,78.2076922999695,1.8682948716103824,0.0,78.2076922999695,12,0,0,4,5,real_solver:ILS_MS | archive=5 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S3_mixed_fleet_arc__ILS_MS__seed01,main,hg,200,C1_2_5,clustered,S3_mixed_fleet_arc,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,2585.1895621496415,1.0,1.0,0.0,0.0,81.1041542000603,1.9374881281125516,0.0,81.1041542000603,12,0,0,1,2,real_solver:ILS_MS | archive=2 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S3_mixed_fleet_arc__ILS_MS__seed02,main,hg,200,C1_2_5,clustered,S3_mixed_fleet_arc,ILS_MS,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,2585.1895621496415,1.0,1.0,0.0,0.0,77.80954919999931,1.858783675333317,0.0,77.80954919999931,12,0,0,1,3,real_solver:ILS_MS | archive=3 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C2_2_1__S1_balanced__ILS_MS__seed01,main,hg,200,C2_2_1,clustered,S1_balanced,ILS_MS,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,4538.830259746355,10734.50514920999,5552.127159470543,0.9681790694745702,0.9681790694745702,0.0,0.0,63.81150599999819,1.5243859766666235,0.0,63.81150599999819,12,0,0,1,4,real_solver:ILS_MS | archive=4 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C2_2_1.TXT
