metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm,section,blocks,k_methods,friedman_chi2,kendalls_w
j_scaled_final,EDE,ILS_MS,3.0,0.0,0.25,0.04009244933039746,-1.0,0.5,pairwise,,,,
j_scaled_final,EDE,StdDE,3.0,0.0,0.25,-0.2433600870560385,1.0,0.5,pairwise,,,,
j_scaled_final,,,,,0.04978706836786395,,,,omnibus,3.0,3.0,6.0,1.0
