run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2368.911849941806,1973.1298679762774,1042.3359951795726,1.028504,0.8103380245638196,0.21816597543618044,21.21197150776083,60.26884140004404,0.8705499313339694,0.2506070790240351,4.042661300045438,1,0,0,0,4,real_solver:EDE | archive=4 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2364.1638888425537,1962.9626324165215,1024.7353958852525,1.028049,0.8065690603396786,0.22147993966032142,21.543714322986688,60.02512190002017,0.8670295385558469,0.2554468213726902,3.7385199000127614,1,0,0,0,7,real_solver:EDE | archive=7 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676584,1.027231,0.8775668576505108,0.14966414234948922,14.569667616095037,60.022405600058846,0.8669903031119611,0.17262493226543266,2.663103200029582,1,0,0,0,17,real_solver:EDE | archive=17 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2479.91234259071,1984.0985276627073,1048.4348296888827,0.8261119920300009,0.8261119920300009,0.0,0.0,60.255229000002146,0.8703533077778087,0.0,60.255229000002146,255,0,0,86,4,real_solver:ILS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2350.25268406081,1958.2674473479995,1024.4473253613094,0.804260109965119,0.804260109965119,0.0,0.0,60.12434270000085,0.8684627278889012,0.0,60.12434270000085,317,0,0,141,4,real_solver:ILS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ILS_MS__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2496.0203198229096,1951.7435323874352,663.1529204518143,0.8175272056547538,0.8175272056547538,0.0,0.0,60.02913499996066,0.8670875055549874,0.0,60.02913499996066,300,0,0,143,3,real_solver:ILS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed01,main,solomon,100,C101,clustered,S1_balanced,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3043.9837490975924,2605.4253199847994,1375.799448095585,1.108923,1.0602550261728352,0.04866797382716492,4.388760430360351,60.32888000004459,0.8714171555561997,0.055849226190757745,2.92809100006707,1,0,0,222,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.108923 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3043.9837490975924,2605.4253199847994,1359.4567219550624,1.108153,1.0596319608913605,0.048521039108639474,4.378550534866528,60.004471700056456,0.8667312578897044,0.05598164213758402,2.8625122000230476,1,0,0,274,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3124.1838916337115,2483.5688680549674,840.9898111950064,1.211881,1.0332041509315768,0.17867684906842318,14.743761893158089,60.01807330001611,0.8669277254446772,0.20610351223543305,2.0861420000437647,1,0,0,258,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
