run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2368.911849941806,1973.1298679762774,1042.3359951795726,1.028504,0.8103380245638196,0.21816597543618044,21.21197150776083,60.26884140004404,0.8705499313339694,0.2506070790240351,4.042661300045438,1,0,0,0,4,real_solver:EDE | archive=4 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2364.1638888425537,1962.9626324165215,1024.7353958852525,1.028049,0.8065690603396786,0.22147993966032142,21.543714322986688,60.02512190002017,0.8670295385558469,0.2554468213726902,3.7385199000127614,1,0,0,0,7,real_solver:EDE | archive=7 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676584,1.027231,0.8775668576505108,0.14966414234948922,14.569667616095037,60.022405600058846,0.8669903031119611,0.17262493226543266,2.663103200029582,1,0,0,0,17,real_solver:EDE | archive=17 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
