phase,tier,method_id,summary_scope,source_runs,accepted_runs,strict_duty_runs,accepted_rate,strict_duty_rate,runs,median_j,median_cost,median_energy,median_co2,median_runtime,median_wh,median_imp_per_wh
main,small,A1_NoSeed,unconditional,572,572,572,100.0,100.0,572,0.8274632411509193,2906.2379254795505,2439.156682018651,1137.1534269544693,1800.0545271001174,26.00078761366836,0.00717652893512955
main,small,A2_NoJDE,unconditional,572,572,572,100.0,100.0,572,0.8542840191214662,2966.0831173969045,2516.0154855901937,1143.9776560721834,1800.05465404992,26.00078944738773,0.0028407747217276003
main,small,A3_NoLNS,unconditional,572,572,572,100.0,100.0,572,0.8938967232249033,3095.974598589204,2764.7055021812375,1195.9069883751167,1800.0598476500018,26.00086446605558,0.0009309962780804
main,small,ALNS_MS,unconditional,572,572,572,100.0,100.0,572,0.8510789879816523,2877.1841545440284,2639.8244804368605,1152.726067716172,1800.16974485002,26.002451870055843,0.0
main,small,EDE,unconditional,572,572,572,100.0,100.0,572,0.7410120484344327,2637.629009800101,2010.455232702158,998.6957087490654,1800.0524765498703,26.000757994609238,0.00643245044299335
main,small,HGS_MS,unconditional,572,572,572,100.0,100.0,572,0.7775303437286205,2671.544370858669,2193.558833805855,1060.0338559129063,1800.0562716499553,26.000812812721577,0.0
main,small,ILS_MS,unconditional,572,572,572,100.0,100.0,572,0.8637533086467317,2958.513093601678,2679.770226059643,1173.5555364173931,1800.051685000013,26.0007465611113,0.0
main,small,StdDE,unconditional,572,572,572,100.0,100.0,572,0.9082446963752827,3291.706751100968,2787.5448429522467,1243.6344429611263,1800.0577078000642,26.000833557112045,0.00373607635726545
