run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__StdDE__seed12,main,solomon,100,C101,clustered,S1_balanced,StdDE,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3074.505920122188,2606.753421747346,1379.1636969283547,1.251744,1.064797478418473,0.18694652158152691,14.93488457556233,1800.3065004999517,26.004427229443746,0.007189026696571691,13.86555920005776,1,0,0,2453,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.251744 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed13,main,solomon,100,C101,clustered,S1_balanced,StdDE,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2903.3350643189983,2579.4831795274695,1359.3104236456793,1.214307,1.0363556771343878,0.17795132286561222,14.654557938446553,1800.8980160999345,26.01297134366572,0.006840868754078115,14.313775800052099,1,0,0,3133,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.214307 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed14,main,solomon,100,C101,clustered,S1_balanced,StdDE,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3007.0556064748184,2655.414980914527,1399.602164371955,1.23006,1.0690227168785895,0.1610372831214104,13.091823416858562,1800.0106601999141,26.000153980665427,0.006193704977330636,14.551070499932393,1,0,0,2734,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.230060 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed15,main,solomon,100,C101,clustered,S1_balanced,StdDE,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2978.6485452923675,2607.7775147016405,1379.6927113174195,1.179349,1.0541095544027022,0.12523944559729783,10.61937099173339,1801.2510247000027,26.018070356777816,0.0048135562660846,16.471525399945676,1,0,0,2834,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.179349 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed16,main,solomon,100,C101,clustered,S1_balanced,StdDE,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3276.572367104894,2619.211005880667,1379.7328895121032,1.125124,1.0897629084166436,0.03536109158335643,3.142861727539047,1800.526029599947,26.007598205332567,0.0013596446432376072,6.116751599940471,1,0,0,2701,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.125124 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed17,main,solomon,100,C101,clustered,S1_balanced,StdDE,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3183.2651910185186,2701.640647841566,1421.6188215200104,1.123628,1.101193819370666,0.022434180629334,1.9965843347917636,1800.0039139,26.000056534111113,0.0008628512249541143,11.75833970005624,1,0,0,3225,6,real_solver:StdDE | archive=6 | walltime_hit=1 | init_best=1.123628 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed18,main,solomon,100,C101,clustered,S1_balanced,StdDE,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2702.7047566456354,2402.611764341342,1269.6190348129333,1.113136,0.9660248874394517,0.1471111125605482,13.215915446140293,1800.044238600065,26.000639002000938,0.005657980657676411,1.8634060999611393,1,0,0,3397,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.113136 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed19,main,solomon,100,C101,clustered,S1_balanced,StdDE,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3094.096680320319,2705.639056059633,1423.9255539520286,1.206362,1.0921374185002695,0.11422458149973047,9.468516208213659,1800.6076480000047,26.008777137777845,0.004391770550942929,9.242144200019538,1,0,0,2894,7,real_solver:StdDE | archive=7 | walltime_hit=1 | init_best=1.206362 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed20,main,solomon,100,C101,clustered,S1_balanced,StdDE,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3255.4211861555373,2481.670465250591,1307.7776288054522,1.262796,1.0499275412475393,0.21286845875246074,16.856915824286798,1800.0461702999892,26.000666904333176,0.00818703841465639,13.711415800033137,1,0,0,2983,4,real_solver:StdDE | archive=4 | walltime_hit=1 | init_best=1.262796 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3043.9837490975924,2605.4253199847994,1359.4567219550624,1.108153,1.0596319608913605,0.048521039108639474,4.378550534866528,1800.411980999983,26.00595083666642,0.0018657667782801654,13.465453899931163,1,0,0,3559,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
