run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__A2_NoJDE__seed12,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2932.8273987221723,2358.399745077077,1246.168736183687,0.98313,0.980237689972081,0.0028923100279188985,0.29419405652547465,1800.0385764000239,26.000557214667012,0.00011124030935334477,14.882759999949485,1,0,0,3101,7,real_solver:A2_NoJDE | archive=7 | walltime_hit=1 | init_best=0.983130 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed13,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2791.6859805724634,2281.895269864915,1201.7458408366117,0.99868,0.942144268680081,0.05653573131991896,5.661045712332174,1800.300244199927,26.00433686066561,0.002174088561567413,13.356435099965893,1,0,0,2026,3,real_solver:A2_NoJDE | archive=3 | walltime_hit=1 | init_best=0.998680 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed14,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2638.787751922596,2280.99544277988,1203.0109415787083,0.972677,0.9248586026324785,0.04781839736752147,4.916164088132183,1800.2705582999624,26.00390806433279,0.0018388927252480807,15.682349000009708,1,0,0,2611,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=0.972677 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed15,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2598.914010898476,2098.2812089493045,1108.441558330897,0.944654,0.8708560458557897,0.07379795414421031,7.812167644895412,1800.6039430999663,26.008723622555067,0.0028374308257177166,5.9353240999626,1,0,0,2840,8,real_solver:A2_NoJDE | archive=8 | walltime_hit=1 | init_best=0.944654 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed16,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2647.520717254345,2239.073055543445,1183.2062348417362,1.028504,0.9150028746497377,0.11350112535026236,11.035555073219195,1800.3614954000805,26.005221600223383,0.0043645513618421694,11.465052000014111,1,0,0,2497,6,real_solver:A2_NoJDE | archive=6 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed17,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2758.6528090887955,2184.176633799153,1152.9694489464275,1.028504,0.9123889500039924,0.11611504999600764,11.289703296827977,1800.9552413000492,26.0137979298896,0.00446359467806093,15.220821500057355,1,0,0,2980,11,real_solver:A2_NoJDE | archive=11 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed18,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2761.389780041654,2127.3746267740316,1121.8389477334724,1.028504,0.8968843911554171,0.131619608844583,12.797189786776036,1800.0039340000367,26.000056824444975,0.0050622815839708344,14.270654599997215,1,0,0,2595,4,real_solver:A2_NoJDE | archive=4 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed19,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2388.4796082982034,2034.465438382339,1076.6660761384562,1.024734,0.8298411564570317,0.19489284354296832,19.018871584525186,1800.3091761000687,26.004465877000992,0.007494591293080027,1.8125251000747085,1,0,0,3313,4,real_solver:A2_NoJDE | archive=4 | walltime_hit=1 | init_best=1.024734 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A2_NoJDE__seed20,main,solomon,100,C101,clustered,S1_balanced,A2_NoJDE,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2532.752365439985,2138.3833484553315,1128.280241543526,1.028504,0.8739024158079481,0.15460158419205194,15.031694985342977,1800.2021387999412,26.002919782665817,0.005945547095642434,14.25492150010541,1,0,0,2412,1,real_solver:A2_NoJDE | archive=1 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2491.3818379124305,2287.0154832939347,1188.6715862315245,1.028049,0.9082635308737611,0.11978546912623889,11.651727605030391,1800.6557422999758,26.009471833221873,0.004605455654552624,14.375223000068218,1,0,0,2600,7,real_solver:A2_NoJDE | archive=7 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
