compare_method,n_pairs,wins_EDE_lower,losses_EDE_higher,ties,win_rate_pct,median_diff_EDE_minus_compare,median_abs_improvement,rank_biserial,wilcoxon_stat,p_value,p_holm
HGS_MS,572,458,114,0,80.06993006993007,-0.02441620634502084,0.02441620634502084,0.6013986013986014,17887.0,5.213015612129492e-59,5.213015612129492e-59
A1_NoSeed,572,551,21,0,96.32867132867133,-0.09418622402608445,0.09418622402608445,0.9265734265734266,677.0,7.672107680777056e-94,2.3016323042331167e-93
A2_NoJDE,572,566,6,0,98.95104895104895,-0.10864528815378988,0.10864528815378988,0.9790209790209791,79.0,3.3659495696501235e-95,1.5562837719992026e-94
ALNS_MS,572,567,5,0,99.12587412587412,-0.11968244628874958,0.11968244628874958,0.9825174825174825,30.0,2.602614960935634e-95,1.5562837719992026e-94
ILS_MS,572,535,37,0,93.53146853146853,-0.12927826059578823,0.12927826059578823,0.8706293706293706,1288.0,1.8281210076363858e-92,3.6562420152727716e-92
A3_NoLNS,572,572,0,0,100.0,-0.14861041274559134,0.14861041274559134,1.0,0.0,2.2232625314274324e-95,1.5562837719992026e-94
StdDE,572,570,2,0,99.65034965034965,-0.1891204877622668,0.1891204877622668,0.993006993006993,5.0,2.282420588990053e-95,1.5562837719992026e-94
