metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm,summary_scope,section,blocks,k_methods,friedman_chi2,kendalls_w
j_scaled_final,EDE,A1_NoSeed,572.0,677.0,7.672107680777056e-94,-0.09418622402608445,0.9265734265734266,2.3016323042331167e-93,accepted_only,pairwise,,,,
j_scaled_final,EDE,A2_NoJDE,572.0,79.0,3.3659495696501235e-95,-0.10864528815378988,0.9790209790209791,1.5562837719992026e-94,accepted_only,pairwise,,,,
j_scaled_final,EDE,A3_NoLNS,572.0,0.0,2.2232625314274324e-95,-0.14861041274559134,1.0,1.5562837719992026e-94,accepted_only,pairwise,,,,
j_scaled_final,EDE,ALNS_MS,572.0,30.0,2.602614960935634e-95,-0.11968244628874958,0.9825174825174825,1.5562837719992026e-94,accepted_only,pairwise,,,,
j_scaled_final,EDE,HGS_MS,572.0,17887.0,5.213015612129492e-59,-0.02441620634502084,0.6013986013986014,5.213015612129492e-59,accepted_only,pairwise,,,,
j_scaled_final,EDE,ILS_MS,572.0,1288.0,1.8281210076363858e-92,-0.12927826059578823,0.8706293706293706,3.6562420152727716e-92,accepted_only,pairwise,,,,
j_scaled_final,EDE,StdDE,572.0,5.0,2.282420588990053e-95,-0.1891204877622668,0.993006993006993,1.5562837719992026e-94,accepted_only,pairwise,,,,
j_scaled_final,,,,,1.644966654717273e-32,,,,accepted_only,omnibus,29.0,8.0,166.1264367816092,0.8183568314364984
