method_id,runs,accepted_rate,strict_duty_rate,median_j,mean_j,std_j,median_cost,median_energy,median_co2,median_runtime,median_wh,median_imp_per_wh,rel_gap_vs_ede_pct
EDE,572,100.0,100.0,0.7410120484344327,0.7364054299732223,0.06129455234267925,2637.629009800101,2010.455232702158,998.6957087490654,1800.0524765498703,26.000757994609238,0.00643245044299335,0.0
HGS_MS,572,100.0,100.0,0.7775303437286205,0.7686800693407212,0.045896484917900965,2671.544370858669,2193.558833805855,1060.0338559129063,1800.0562716499553,26.000812812721577,0.0,4.696703554881931
A1_NoSeed,572,100.0,100.0,0.8274632411509193,0.8252608517512848,0.044670195249662925,2906.2379254795505,2439.156682018651,1137.1534269544693,1800.0545271001174,26.00078761366836,0.00717652893512955,10.447738149218758
ALNS_MS,572,100.0,100.0,0.8510789879816523,0.8487919395393998,0.030540595379931677,2877.1841545440284,2639.8244804368605,1152.726067716172,1800.16974485002,26.002451870055843,0.0,12.932635055207404
A2_NoJDE,572,100.0,100.0,0.8542840191214662,0.8494703136430259,0.04052795119494553,2966.0831173969045,2516.0154855901937,1143.9776560721834,1800.05465404992,26.00078944738773,0.0028407747217276003,13.25928709324574
ILS_MS,572,100.0,100.0,0.8637533086467317,0.8571063980989971,0.03900564385346157,2958.513093601678,2679.770226059643,1173.5555364173931,1800.051685000013,26.0007465611113,0.0,14.21022171302608
A3_NoLNS,572,100.0,100.0,0.8938967232249033,0.8977495177052136,0.035276903320310235,3095.974598589204,2764.7055021812375,1195.9069883751167,1800.0598476500018,26.00086446605558,0.0009309962780804,17.103169842586507
StdDE,572,100.0,100.0,0.9082446963752827,0.9236002418245377,0.07417763139606272,3291.706751100968,2787.5448429522467,1243.6344429611263,1800.0577078000642,26.000833557112045,0.00373607635726545,18.41273046881082
