run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed11,main,solomon,100,C101,clustered,S1_balanced,EDE,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2490.2533395287037,1899.0850976329791,1003.1253019983509,0.9518,0.8039525871893773,0.14784741281062264,15.53345375190404,1800.148393200012,26.002143457333506,0.00568597019908082,23.242027100059204,1,0,0,0,3,real_solver:EDE | archive=3 | walltime_hit=1 | init_best=0.951800 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed12,main,solomon,100,C101,clustered,S1_balanced,EDE,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2492.958813875434,1951.5344074381715,1031.882569597599,0.85287,0.818870765461849,0.03399923453815101,3.9864498151126213,1800.5954185000155,26.008600489444667,0.001307230450633023,22.523167000035755,1,0,0,0,3,real_solver:EDE | archive=3 | walltime_hit=1 | init_best=0.852870 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed13,main,solomon,100,C101,clustered,S1_balanced,EDE,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2513.7777243942896,1936.1773288705324,1023.0739972068917,0.920279,0.8168743619170149,0.10340463808298506,11.236227066246764,1800.4629702999955,26.006687348777714,0.0039760787945122495,20.20369130000472,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.920279 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed14,main,solomon,100,C101,clustered,S1_balanced,EDE,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2341.856129918569,1977.3697909891275,1042.9382770354403,0.934418,0.8079790577528269,0.12643894224717311,13.53130421793813,1800.1184195999522,26.001710505332642,0.004862716328652378,6.0378422000212595,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.934418 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed15,main,solomon,100,C101,clustered,S1_balanced,EDE,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2326.443686064695,1917.9829496332168,1014.0555795000489,0.854306,0.7906256256170368,0.06368037438296326,7.454047423635472,1800.1398353999248,26.00201984466558,0.002449054910479485,9.59739280003123,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.854306 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed16,main,solomon,100,C101,clustered,S1_balanced,EDE,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2195.903160553668,1934.7222062926285,1021.96408637747,0.914766,0.7800279210664313,0.1347380789335687,14.729239929508607,1800.0407833999489,26.000589093554815,0.005182116391623158,22.59527489996981,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.914766 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed17,main,solomon,100,C101,clustered,S1_balanced,EDE,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2346.147378566614,2005.2411534913329,1059.4089120019871,0.933933,0.8165402279287957,0.11739277207120435,12.56972096191101,1800.5700673999963,26.008234306888834,0.004513677118023748,22.673771500005387,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.933933 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed18,main,solomon,100,C101,clustered,S1_balanced,EDE,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2361.4863338640407,1962.2796319199913,1036.0924691946964,0.93782,0.8063904292774534,0.13142957072254657,14.014370638560338,1800.1859362999676,26.002685746555088,0.005054461373858612,22.216130999964662,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.937820 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed19,main,solomon,100,C101,clustered,S1_balanced,EDE,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2470.503653498816,1889.0605594056015,998.7376154120368,1.012406,0.7991878543306079,0.213218145669392,21.060537538239803,1800.0234409999102,26.000338592220924,0.008200591115885891,13.410917100030929,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=1.012406 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__EDE__seed20,main,solomon,100,C101,clustered,S1_balanced,EDE,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2504.6780521780565,1940.2560798233667,1023.7181648788687,0.887643,0.816558090309003,0.07108490969099701,8.008276941405162,1800.0713671999983,26.00103085955553,0.002733926592178667,20.475742899929173,1,0,0,0,3,real_solver:EDE | archive=3 | walltime_hit=1 | init_best=0.887643 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
