run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__A1_NoSeed__seed17,main,solomon,100,C101,clustered,S1_balanced,A1_NoSeed,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2525.2404574778116,2029.286803872129,1073.1123903548155,1.123628,0.8438577258094749,0.27977027419052514,24.898834328667952,1800.0517411999172,26.00074737288769,0.010760085861310891,13.732750599971041,1,0,0,1778,11,real_solver:A1_NoSeed | archive=11 | walltime_hit=1 | init_best=1.123628 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A1_NoSeed__seed18,main,solomon,100,C101,clustered,S1_balanced,A1_NoSeed,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2690.113831270444,2041.9615884480368,1075.8532829880066,1.113136,0.8651597144771174,0.24797628552288253,22.27726760457685,1800.3289372998988,26.004751316554096,0.009535806841768408,13.975023999926634,1,0,0,1876,15,real_solver:A1_NoSeed | archive=15 | walltime_hit=1 | init_best=1.113136 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A1_NoSeed__seed19,main,solomon,100,C101,clustered,S1_balanced,A1_NoSeed,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2360.759586387127,2097.7778072834094,1106.262080135827,1.206362,0.8429823313932476,0.3633796686067523,30.121942551800565,1800.3919287000317,26.00566119233379,0.01397309862338255,11.7893488999689,1,0,0,2632,120,real_solver:A1_NoSeed | archive=120 | walltime_hit=1 | init_best=1.206362 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A1_NoSeed__seed20,main,solomon,100,C101,clustered,S1_balanced,A1_NoSeed,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2410.3266924373447,2095.3565371151585,1104.606432018791,1.262796,0.847892945219621,0.41490305478037903,32.85590505357786,1800.4307245999807,26.006221577555277,0.015953992145420384,13.50071549997665,1,0,0,1806,6,real_solver:A1_NoSeed | archive=6 | walltime_hit=1 | init_best=1.262796 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2554.8806560938083,2097.1076161233505,1088.3194456458202,1.108153,0.8633408427852199,0.24481215721478,22.091909439831866,1800.0377386999317,26.00054511455457,0.009415654792473532,13.227869100053795,1,0,0,2469,2,real_solver:A1_NoSeed | archive=2 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2425.805167880707,2150.5908945010046,1122.8793333676824,1.098395,0.8649176224208658,0.23347737757913423,21.25623091684997,1800.107591100037,26.001554093667202,0.008979362415725708,1.8634754000231624,1,0,0,2165,22,real_solver:A1_NoSeed | archive=22 | walltime_hit=1 | init_best=1.098395 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2349.724523119994,2012.7507724588704,1051.347882418093,1.217143,0.8186781669081206,0.3984648330918795,32.73771718622048,1800.7952882000245,26.011487496222575,0.015318802246497634,13.013311699964106,1,0,0,2052,6,real_solver:A1_NoSeed | archive=6 | walltime_hit=1 | init_best=1.217143 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed04,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2344.9560051664917,1960.9856956807698,1024.5213080366918,1.211464,0.8040455241775429,0.40741847582245716,33.63025858155564,1800.9917657999322,26.01432550599902,0.01566131229227929,13.333448400022462,1,0,0,2248,1,real_solver:A1_NoSeed | archive=1 | walltime_hit=1 | init_best=1.211464 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed05,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2511.3554129146473,2014.2659139928066,1050.2026756336913,1.240568,0.8370748802028548,0.4034931197971451,32.524869237086975,1800.0398555999855,26.00057569199979,0.015518622532704049,13.350242899963632,1,0,0,1848,17,real_solver:A1_NoSeed | archive=17 | walltime_hit=1 | init_best=1.240568 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed06,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2543.743514898297,2014.595627569342,1053.198640828591,1.233085,0.8416069108979359,0.39147808910206405,31.747859158295178,1800.1320802000118,26.00190782511128,0.015055744822077825,13.871561900014058,1,0,0,3249,6,real_solver:A1_NoSeed | archive=6 | walltime_hit=1 | init_best=1.233085 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
