instance_id,A1_NoSeed,A2_NoJDE,A3_NoLNS,ALNS_MS,EDE,HGS_MS,ILS_MS,StdDE,best_method
C101,0.818773067108506,0.8784555217255359,0.9440831634097834,0.8336173706033639,0.7972750300778084,0.7878644671498518,0.7952112998423861,1.033266597691556,HGS_MS
C104,0.7916246514465604,0.8191622319653793,0.8819617716349223,0.8362909663932366,0.6374819094895751,0.6793019510911086,0.8477883565819166,0.8950902862769513,EDE
C109,0.760792518013691,0.817882288037358,0.9137637450243129,0.8158269600851613,0.626186706224188,0.7419324514723271,0.8263436874666239,0.9994950389854049,EDE
C201,0.7967533533194964,0.8437979616504605,0.8664787273854073,0.8160973395915923,0.7774210037563971,0.7659209281571364,0.8061360288941875,0.8535452318182419,HGS_MS
R101,0.8440065055509751,0.8686289904021931,0.8844401930909811,0.8558127793407151,0.8085482154104711,0.8084997662022277,0.8759650342433138,0.870049268317024,HGS_MS
R104,0.8390841032491672,0.8314831034494197,0.8594529090305749,0.8641603187602831,0.7185383973884032,0.7338889687907053,0.8804464772301359,0.8397127435799918,EDE
R109,0.9042361796381841,0.8590183026087073,0.9243738795187872,0.8881319594665052,0.7870054991954853,0.8329090683716383,0.9064141734087319,0.9823536554393324,EDE
RC101,0.8258095774956545,0.8627598388087434,0.8737154703705501,0.8336651741110006,0.7686884996207246,0.7822608478204278,0.8770144332670193,0.8853023813867659,EDE
RC104,0.8269218379724579,0.8551618209650825,0.9064841893562225,0.8540855210347624,0.7131377586274896,0.7546983457155849,0.8569345189428514,0.905138773795586,EDE
RC108,0.8339630423658402,0.8721613527798349,0.9231222576521851,0.8510789879816523,0.714964067898036,0.7817852837602188,0.8671966295473155,0.9668601628450819,EDE
