run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__ALNS_MS__seed12,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2356.073851708801,2073.3993550332807,1096.11374102567,0.8364878295227496,0.8364878295227496,0.0,0.0,1800.1574169999221,26.002273801109986,0.0,1.5318235999438912,1,0,0,152,3,real_solver:ALNS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed13,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2538.287091264274,2044.9544556398382,1080.3185174479845,0.8493562757866323,0.8493562757866323,0.0,0.0,1801.2029917000327,26.01737654677825,0.0,0.2972991999704391,1,0,0,148,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed14,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2564.4259345286287,2136.285671703239,1128.1507651953625,0.8772049311051474,0.8772049311051474,0.0,0.0,1801.0447798999958,26.01509126522216,0.0,2.460642599966377,1,0,0,46,3,real_solver:ALNS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed15,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2546.0427029392376,2033.3413174119055,1072.7764069892094,0.8467052147919882,0.8467052147919882,0.0,0.0,1802.118488399894,26.03060038799847,0.0,2.5026217000558972,1,0,0,86,23,real_solver:ALNS_MS | archive=23 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed16,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2554.796368774518,2005.496844463802,1057.7266371693386,0.8400070664012338,0.8400070664012338,0.0,0.0,1801.2281036999775,26.01773927566634,0.0,2.8758848999859765,1,0,0,219,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed17,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2349.0150277637126,1974.5770597245828,1043.3352321333493,0.8085183601473257,0.8085183601473257,0.0,0.0,1801.0382832000032,26.014997424000047,0.0,2.292525500059128,1,0,0,32,1,real_solver:ALNS_MS | archive=1 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed18,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2537.0782045437545,2131.4603878881835,1121.8963916183156,0.8718001629799952,0.8718001629799952,0.0,0.0,1801.3764241000172,26.019881681444694,0.0,2.2522470999974757,1,0,0,89,2,real_solver:ALNS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed19,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2585.0888926852126,2166.630976270454,1143.07714259327,0.8875782665865963,0.8875782665865963,0.0,0.0,1801.7400677999249,26.025134312665582,0.0,2.2316879999125376,1,0,0,59,8,real_solver:ALNS_MS | archive=8 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ALNS_MS__seed20,main,solomon,100,C101,clustered,S1_balanced,ALNS_MS,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2576.440958857162,2045.5407915186765,1080.6879404793917,0.8538962571980946,0.8538962571980946,0.0,0.0,1801.0413729998982,26.015042054442972,0.0,2.1864098999649286,1,0,0,141,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2403.4417224168305,2231.2783290534812,1163.7524893815744,0.8840716403890857,0.8840716403890857,0.0,0.0,1801.699074700009,26.02454219011124,0.0,2.426374900038354,1,0,0,73,2,real_solver:ALNS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
