method_id,done_rows,target_rows,remaining_rows,completion_pct
EDE,810,2160,1350,37.5
StdDE,810,2160,1350,37.5
ALNS_MS,810,2160,1350,37.5
HGS_MS,810,2160,1350,37.5
ILS_MS,810,2160,1350,37.5
A1_NoSeed,810,2160,1350,37.5
A2_NoJDE,810,2160,1350,37.5
A3_NoLNS,810,2160,1350,37.5
