metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm
j_scaled_final,EDE,ILS_MS,3,0.0,0.25,0.02864083473417134,-1.0,0.5
j_scaled_final,EDE,StdDE,3,0.0,0.25,-0.2588121041798661,1.0,0.5
