run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2561.3572392357155,2096.4825604282596,1106.0288414864488,1.028504,0.8656904384217426,0.16281356157825744,15.83013401778286,60.13678479999999,0.8686424471111109,0.1874344986475562,1.1022901999999704,1,0,0,0,20,real_solver:EDE | archive=20 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2502.3458789822575,1972.7346472009551,1030.8230023584606,1.028049,0.8253016892723455,0.2027473107276545,19.72156100805064,60.05134140000018,0.8674082646666693,0.23373919639279314,1.1023965999997927,1,0,0,0,7,real_solver:EDE | archive=7 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2370.162071327603,2022.205718034894,687.2922619363014,1.027231,0.8224168402477764,0.2048141597522236,19.93847145892439,60.20782680000002,0.8696686093333337,0.23550828160766785,1.0740928000000167,1,0,0,0,6,real_solver:EDE | archive=6 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2180.312652844063,1976.7668732542306,1045.0099774932219,0.7899535660424961,0.7899535660424961,0.0,0.0,60.084369199999855,0.8678853328888868,0.0,60.084369199999855,452,0,0,209,9,real_solver:ILS_MS | archive=9 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2341.0788987807045,1933.3860296076302,1012.4003398622298,0.7966608545381741,0.7966608545381741,0.0,0.0,60.08691070000032,0.867922043444449,0.0,60.08691070000032,464,0,0,284,5,real_solver:ILS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ILS_MS__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2368.001065071449,1985.4076804790298,675.8711624761302,0.8125712949771365,0.8125712949771365,0.0,0.0,60.22824270000001,0.8699635056666668,0.0,60.22824270000001,447,0,0,243,8,real_solver:ILS_MS | archive=8 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed01,main,solomon,100,C101,clustered,S1_balanced,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3035.40853158811,2658.8573675119046,1402.1914985342264,1.108923,1.073406102428932,0.03551689757106802,3.202828110794709,60.136071999999785,0.868632151111108,0.04088830643171185,0.9264536000000589,1,0,0,421,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.108923 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3154.1830738718363,2657.8924512147487,1377.4476662779323,1.108153,1.0841137934522116,0.02403920654778835,2.169303927146193,60.03909759999988,0.867231409777776,0.027719483262199054,0.9892533000002004,1,0,0,437,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3113.6870454025934,2761.9220288022784,926.8907425498809,1.211881,1.1044121021227222,0.10746889787727776,8.867941479178052,60.16190869999991,0.8690053478888876,0.12366885674335217,0.9401527999998507,1,0,0,418,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
