run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2360.265338406549,2012.5876589490938,1063.1476774403134,1.028504,0.8201266090982028,0.2083773909017973,20.260241175707367,1801.101608099998,26.01591211699997,0.008009613115414628,19.598742499947548,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2532.6608905556477,2001.842133420594,1044.1728026109063,1.028049,0.8362376357327638,0.19181136426723622,18.657803690994907,1801.8123240999412,26.026178014776928,0.007369939764429919,19.953233000007458,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676585,1.027231,0.8775668576505109,0.1496641423494891,14.569667616095026,1800.89062630001,26.012864602111254,0.005753466395905589,16.72737610002514,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
