run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2360.265338406549,2012.5876589490938,1063.1476774403134,1.028504,0.8201266090982028,0.2083773909017973,20.260241175707367,1801.101608099998,26.01591211699997,0.008009613115414628,19.598742499947548,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2532.6608905556477,2001.842133420594,1044.1728026109063,1.028049,0.8362376357327638,0.19181136426723622,18.657803690994907,1801.8123240999412,26.026178014776928,0.007369939764429919,19.953233000007458,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676585,1.027231,0.8775668576505109,0.1496641423494891,14.569667616095026,1800.89062630001,26.012864602111254,0.005753466395905589,16.72737610002514,1,0,0,0,128,real_solver:EDE | archive=128 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2332.84368079581,1902.78985344337,1006.3968484409461,0.787299479287949,0.787299479287949,0.0,0.0,1800.6007762999507,26.008677879888175,0.0,1800.6007762999507,1363,0,0,976,30,real_solver:ILS_MS | archive=30 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2341.0788987807045,1933.3860296076302,1012.4003398622298,0.7966608545381741,0.7966608545381741,0.0,0.0,1800.821725399932,26.011869366887904,0.0,1800.821725399932,1455,0,0,1275,13,real_solver:ILS_MS | archive=13 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ILS_MS__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2334.896648353442,1927.1080304620125,658.0866861557585,0.7937016950253829,0.7937016950253829,0.0,0.0,1800.0628617000766,26.00090800233444,0.0,1800.0628617000766,1561,0,0,1309,16,real_solver:ILS_MS | archive=16 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__StdDE__seed01,main,solomon,100,C101,clustered,S1_balanced,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3043.9837490975924,2605.4253199847994,1375.799448095585,1.108923,1.0602550261728352,0.04866797382716492,4.388760430360351,1801.4934938000515,26.021572688222967,0.0018702933297029903,20.11066269990988,1,0,0,1101,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.108923 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3043.9837490975924,2605.4253199847994,1359.4567219550624,1.108153,1.0596319608913605,0.048521039108639474,4.378550534866528,1800.0431977000553,26.000623966778576,0.0018661490266785753,19.307445999933407,1,0,0,1170,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3124.1838916337115,2483.5688680549674,840.9898111950064,1.211881,1.0332041509315768,0.17867684906842318,14.743761893158089,1800.3465949000092,26.00500637077791,0.006870863499160845,19.55670749989804,1,0,0,1254,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
