run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2368.911849941806,1973.1298679762774,1042.3359951795724,1.028504,0.8103380245638195,0.21816597543618055,21.21197150776084,60.16844880000008,0.8690998160000011,0.25102522336304384,2.232195999999931,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2367.479623083831,1958.214325825755,1021.4320079929525,1.028049,0.8054361570665384,0.22261284293346162,21.653913668848627,60.06024849999994,0.8675369227777769,0.256603306543628,1.32078410000031,1,0,0,0,18,real_solver:EDE | archive=18 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676584,1.027231,0.8775668576505108,0.14966414234948922,14.569667616095037,60.14927530000023,0.8688228654444478,0.17226082358332992,1.2889905000001818,1,0,0,0,23,real_solver:EDE | archive=23 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
