run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__ILS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2180.312652844063,1976.7668732542306,1045.0099774932219,0.7899535660424961,0.7899535660424961,0.0,0.0,60.06800080000005,0.8676489004444452,0.0,60.06800080000005,573,0,0,322,10,real_solver:ILS_MS | archive=10 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2341.0788987807045,1933.3860296076302,1012.4003398622298,0.7966608545381741,0.7966608545381741,0.0,0.0,60.003017500000055,0.8667102527777786,0.0,60.003017500000055,603,0,0,423,5,real_solver:ILS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__ILS_MS__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2334.6445232003753,1932.2958744963844,659.9069944468877,0.7951100017944591,0.7951100017944591,0.0,0.0,60.0418059000001,0.8672705296666681,0.0,60.0418059000001,603,0,0,390,6,real_solver:ILS_MS | archive=6 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
