run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2531.489675581318,2002.9444583212994,1057.714611067283,0.92268,0.8369887218229856,0.08569127817701438,9.287215305091081,60.06839550007135,0.8676546016676973,0.09876197050336541,1.5194988999282941,1,0,0,0,3,real_solver:EDE | archive=3 | walltime_hit=1 | init_best=0.922680 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2360.3124831677915,1975.4035470739605,1033.9445609159163,0.921864,0.810235174619922,0.11162882538007801,12.10903402021101,60.0340687999269,0.8671587715544996,0.1287293965555676,1.0585135999135673,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.921864 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2352.3825193197763,1934.4145967904838,656.6379836210515,0.920364,0.7961228983447244,0.12424110165527558,13.49912661243547,60.00440850004088,0.8667303450005905,0.14334458505106445,1.0394834999460727,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.920364 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
