metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm
j_scaled_final,EDE,ILS_MS,3,1.0,0.5,0.013345105852212935,-0.3333333333333333,0.5
j_scaled_final,EDE,StdDE,3,0.0,0.25,-0.2874307886889861,1.0,0.5
