label,method_id,median_init,median_final,best_s1,best_s2,best_s3
route_traj,EDE,1.028049,0.808455,0.785975,0.821631,0.808455
reserve3,EDE,1.028049,0.807179,0.785202,0.815409,0.807179
seedboost,EDE,0.921864,0.810235,0.836989,0.810235,0.796123
burst6,EDE,1.028049,0.808455,0.785975,0.821631,0.808455
ils_ref,ILS_MS,0.793702,0.793702,0.789954,0.796661,0.793702
