run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2334.2099089926355,1897.1182135292868,1003.6713362077671,1.028504,0.785975313739946,0.24252868626005408,23.58072367827972,60.05858409998473,0.8675128814442239,0.27956782135188074,1.4336790000088513,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2380.2256631779005,2013.155682155039,1049.081220266487,1.028049,0.821630729661345,0.206418270338655,20.07864122611422,60.0566131999949,0.8674844128888152,0.237950408412827,1.3191487999865785,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2358.7671350926253,1979.5106497111367,670.2318109532371,1.027231,0.808455107646672,0.21877589235332795,21.297633380741814,60.005254200077616,0.8667425606677878,0.25241161826041003,0.9575438000028953,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
