metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm,section,blocks,k_methods,friedman_chi2,kendalls_w
j_scaled_final,EDE,ILS_MS,6.0,10.0,1.0,-0.006340617527135717,0.3333333333333333,1.0,pairwise,,,,
j_scaled_final,EDE,StdDE,6.0,0.0,0.03125,-0.22114694946512647,1.0,0.0625,pairwise,,,,
j_scaled_final,,,,,0.00940356255149523,,,,omnibus,6.0,3.0,9.333333333333329,0.7777777777777773
