metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm
j_scaled_final,EDE,ILS_MS,6,10.0,1.0,-0.006340617527135717,0.3333333333333333,1.0
j_scaled_final,EDE,StdDE,6,0.0,0.03125,-0.22114694946512647,1.0,0.0625
