metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm,section,blocks,k_methods,friedman_chi2,kendalls_w
j_scaled_final,EDE,ILS_MS,3.0,2.0,0.75,0.002308950374559582,-0.3333333333333333,0.75,pairwise,,,,
j_scaled_final,EDE,StdDE,3.0,0.0,0.25,-0.24991700160901553,1.0,0.5,pairwise,,,,
j_scaled_final,,,,,0.09697196786440515,,,,omnibus,3.0,3.0,4.666666666666664,0.7777777777777773
