metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm
j_scaled_final,EDE,ILS_MS,3,2.0,0.75,0.002308950374559582,-0.3333333333333333,0.75
j_scaled_final,EDE,StdDE,3,0.0,0.25,-0.24991700160901553,1.0,0.5
