run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2692.749069724312,2305.8285701579894,1221.9516642740268,1.028504,0.9393239188116417,0.0891800811883584,8.670854093747657,60.08324189999996,0.8678690496666661,0.10275753147621865,0.6492411000000402,1,0,0,345,58,real_solver:EDE | archive=58 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2692.749069724312,2305.8285701579894,1210.1653701821047,1.028049,0.9394829666761795,0.08856603332382051,8.614962256061775,60.06411559999992,0.8675927808888878,0.10208249224144146,0.7722154000000501,1,0,0,364,59,real_solver:EDE | archive=59 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2559.4861542584554,2096.015788112748,711.6648384181947,1.027231,0.8639103233765061,0.16332067662349392,15.899118759411847,60.07287889999998,0.8677193618888885,0.18821831550234225,0.6424478999999792,1,0,0,401,19,real_solver:EDE | archive=19 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
