run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__StdDE__seed01,main,solomon,100,C101,clustered,S1_balanced,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3068.649063313013,2592.5580286031586,1369.1513332598302,1.108923,1.0595976123449413,0.04932538765505878,4.448044422837183,60.16620499999999,0.8690674055555554,0.056756688077062675,0.6111882999999807,1,0,0,560,1,real_solver:StdDE | archive=1 | walltime_hit=1 | init_best=1.108923 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3235.497346751127,2654.336896845696,1386.6113141002368,1.108153,1.0953208432282882,0.012832156771711789,1.1579769915987945,60.00837450000006,0.8667876316666675,0.01480426843082428,0.7174227000000428,1,0,0,594,7,real_solver:StdDE | archive=7 | walltime_hit=1 | init_best=1.108153 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__StdDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,StdDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3041.7939590297024,2704.517232704409,923.8578917238427,1.211881,1.0871215390110114,0.1247594609889886,10.29469568290852,60.099417899999935,0.868102702999999,0.1437150933384304,0.5782400000000507,1,0,0,580,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.211881 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
