run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__EDE__seed01,main,solomon,100,C101,clustered,S1_balanced,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2368.911849941806,1973.1298679762774,1042.3359951795724,1.028504,0.8103380245638195,0.21816597543618055,21.21197150776084,60.126201400000355,0.8684895757777829,0.2512016050863941,1.5829107999998087,1,0,0,0,8,real_solver:EDE | archive=8 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2366.245854813888,1954.3805923731497,1019.7595154243153,1.028049,0.8043337820600186,0.2237152179399814,21.761143480513223,60.017882299999656,0.8669249665555506,0.25805603318686543,0.9930751000001692,1,0,0,0,21,real_solver:EDE | archive=21 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S3_mixed_fleet_arc__EDE__seed01,main,solomon,100,C101,clustered,S3_mixed_fleet_arc,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2602.1493741217214,2131.417382180337,721.5069706676584,1.027231,0.8775668576505108,0.14966414234948922,14.569667616095037,60.11957949999942,0.8683939261111027,0.17234591105412814,0.8166375000000698,1,0,0,0,41,real_solver:EDE | archive=41 | walltime_hit=1 | init_best=1.027231 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
