metric,control_method,compare_method,n_pairs,wilcoxon_stat,p_value,median_diff_control_minus_compare,rank_biserial,p_holm,summary_scope
j_scaled_final,EDE,ILS_MS,3,1.0,0.5,0.013477304185536498,-0.3333333333333333,0.5,unconditional
j_scaled_final,EDE,StdDE,3,0.0,0.25,-0.23175888167259007,1.0,0.5,unconditional
